Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-01-01,Widget C,South,786,26,Male,2.8744072404860392
2022-01-02,Widget D,East,850,29,Male,3.365204595692979
2022-01-03,Widget A,North,871,40,Female,4.547363611326428
2022-01-04,Widget C,South,464,31,Male,4.555420393573678
2022-01-05,Widget C,South,262,50,Female,3.982934934725436
2022-01-06,Widget D,East,147,35,Female,1.1406279681940057
2022-01-07,Widget A,North,610,66,Male,3.3002816763416596
2022-01-08,Widget A,South,428,58,Male,4.146333883326026
2022-01-09,Widget C,West,939,26,Male,1.0691521790534528
2022-01-10,Widget B,West,215,40,Male,3.198738454626313
2022-01-11,Widget C,West,948,27,Female,4.431056583144118
2022-01-12,Widget C,North,436,36,Male,2.8964083033690677
2022-01-13,Widget C,South,980,64,Male,1.0164248115897938
2022-01-14,Widget C,West,836,22,Female,1.0440534333424298
2022-01-15,Widget D,North,963,64,Female,2.666544149655002
2022-01-16,Widget A,West,939,69,Female,1.6200346696670183
2022-01-17,Widget D,East,246,40,Female,3.6578026283730383
2022-01-18,Widget D,South,674,47,Male,3.835197059624616
2022-01-19,Widget D,South,905,42,Male,1.7115191818425144
2022-01-20,Widget C,North,422,45,Female,4.55413315409794
2022-01-21,Widget B,North,542,51,Female,2.7676313799157035
2022-01-22,Widget A,South,936,62,Male,1.571383630367695
2022-01-23,Widget B,West,112,65,Male,4.057006392277582
2022-01-24,Widget D,West,593,64,Male,4.159898000067091
2022-01-25,Widget D,East,800,42,Male,3.55718189066183
2022-01-26,Widget B,West,386,27,Male,4.413862212810212
2022-01-27,Widget B,North,819,31,Female,3.9494918881226853
2022-01-28,Widget B,North,213,59,Female,4.528822948907962
2022-01-29,Widget D,West,579,63,Female,2.735552193941918
2022-01-30,Widget D,North,121,47,Female,3.99038851239777
2022-01-31,Widget A,South,448,58,Male,4.9990062537161775
2022-02-01,Widget A,South,825,42,Female,3.899724790078477
2022-02-02,Widget D,West,782,31,Male,1.4567351209485286
